子,親
オグリキャップ,ダンシングキャップ
ダンシングキャップ,Native Dancer
ダンシングキャップ,Merry Madcap
オグリキャップ,ホワイトナルビー
ホワイトナルビー,シルバーシャーク
ホワイトナルビー,ネヴァーナルビー
カレンチャン,クロフネ
クロフネ,フレンチデピュティ
クロフネ,ブルーアヴェニュー
カレンチャン,スプリングチケット
スプリングチケット,トニービン
スプリングチケット,カズミハルコマ
サイレンススズカ,サンデーサイレンス
サンデーサイレンス,Halo
サンデーサイレンス,Wishing Well
サイレンススズカ,ワキア
ワキア,Miswaki
ワキア,Rascal Rascal
シンボリルドルフ,パーソロン
パーソロン,Milesian
パーソロン,Paleo
シンボリルドルフ,スイートルナ
スイートルナ,スピードシンボリ
スイートルナ,ダンスタイム
スペシャルウィーク,サンデーサイレンス
サンデーサイレンス,Halo
サンデーサイレンス,Wishing Well
スペシャルウィーク,キャンペンガール
キャンペンガール,マルゼンスキー
キャンペンガール,レディーシラオキ
スマートファルコン,ゴールドアリュール
ゴールドアリュール,サンデーサイレンス
ゴールドアリュール,ニキーヤ
スマートファルコン,ケイシュウハーブ
ケイシュウハーブ,ミシシッピアン
ケイシュウハーブ,キョウエイシラユキ
セイウンスカイ,シェリフズスター
シェリフズスター,ポッセ
シェリフズスター,Castle Moon
セイウンスカイ,シスターミル
シスターミル,ミルジョージ
シスターミル,スイトアンジュレ
タイキシャトル,Devil's Bag
Devil's Bag,Halo
Devil's Bag,Ballade
タイキシャトル,ウェルシュマフィン
ウェルシュマフィン,Caerleon
ウェルシュマフィン,Muffitys
テイエムオペラオー,オペラハウス
オペラハウス,Sadler's Wells
オペラハウス,Colorspin
テイエムオペラオー,ワンスウエド
ワンスウエド,Blushing Groom
ワンスウエド,Noura
トウカイテイオー,シンボリルドルフ
シンボリルドルフ,パーソロン
シンボリルドルフ,スイートルナ
トウカイテイオー,トウカイナチュラル
トウカイナチュラル,ナイスダンサー
トウカイナチュラル,トウカイミドリ
ナリタタイシン,リヴリア
リヴリア,Riverman
リヴリア,Dahlia
ナリタタイシン,タイシンリリイ
タイシンリリイ,ラディガ
タイシンリリイ,インターラーケン
ナリタブライアン,ブライアンズタイム
ブライアンズタイム,Roberto
ブライアンズタイム,Kelley's Day
ナリタブライアン,パシフィカス
パシフィカス,Nothern Dancer
パシフィカス,Pacific Princess
ヒシアマゾン,Theatrical
Theatrical,Nureyev
Theatrical,ツリーオブノレッジ
ヒシアマゾン,Katies
Katies,ノノアルコ
Katies,Mortefontaine
ビワハヤヒデ,シャルード
シャルード,Caro
シャルード,Angel Island
ビワハヤヒデ,パシフィカス
パシフィカス,Nothern Dancer
パシフィカス,Pacific Princess
マルゼンスキー,Nijinsky
Nijinsky,Nothern Dancer
Nijinsky,Flaming Page
マルゼンスキー,シル
シル,Backpasser
シル,Quill
ミホノブルボン,マグニテュード
マグニテュード,Mill Reef
マグニテュード,Altesse Royale
ミホノブルボン,カツミエコー
カツミエコー,シャレー
カツミエコー,ハイフレーム
メジロマックイーン,メジロティターン
メジロティターン,メジロアサマ
メジロティターン,シェリル
メジロマックイーン,メジロオーロラ
メジロオーロラ,リマンド
メジロオーロラ,メジロアイリス
ライスシャワー,リアルシャダイ
リアルシャダイ,Roberto
リアルシャダイ,Desert Vixen
ライスシャワー,ライラックポイント
ライラックポイント,マルゼンスキー
ライラックポイント,クリカツラ
ウオッカ,タニノギムレット
タニノギムレット,ブライアンズタイム
タニノギムレット,タニノクリスタル
ウオッカ,タニノシスター
タニノシスター,ルション
タニノシスター,エナジートウショウ
エアグルーヴ,トニービン
トニービン,カンパラ
トニービン,Seven Bridge
エアグルーヴ,ダイナカール
ダイナカール,ノーザンテースト
ダイナカール,シャダイフェザー
エルコンドルパサー,Kingmambo
Kingmambo,Mr.Prospector
Kingmambo,Miesque
エルコンドルパサー,サドラーズギャル
サドラーズギャル,Sadler's Wells
サドラーズギャル,Glenveagh
グラスワンダー,Silver Hawk
Silver Hawk,Roberto
Silver Hawk,Gris Vitesse
グラスワンダー,Ameriflora
Ameriflora,Danzig
Ameriflora,Graceful Touch
ゴールドシップ,ステイゴールド
ステイゴールド,サンデーサイレンス
ステイゴールド,ゴールデンサッシュ
ゴールドシップ,ポイントフラッグ
ポイントフラッグ,メジロマックイーン
ポイントフラッグ,パストラリズム
スーパークリーク,ノーアテンション
ノーアテンション,Green Dancer
ノーアテンション,No No Nanette
スーパークリーク,ナイスデイ
ナイスデイ,インターメゾ
ナイスデイ,サチノヒメ
ダイワスカーレット,アグネスタキオン
アグネスタキオン,サンデーサイレンス
アグネスタキオン,アグネスフローラ
ダイワスカーレット,スカーレットブーケ
スカーレットブーケ,ノーザンテースト
スカーレットブーケ,スカーレットインク
マヤノトップガン,ブライアンズタイム
ブライアンズタイム,Roberto
ブライアンズタイム,Kelley's Day
マヤノトップガン,アルプミープリーズ
アルプミープリーズ,Blushing Groom
アルプミープリーズ,Swiss
アグネスタキオン,サンデーサイレンス
サンデーサイレンス,Halo
サンデーサイレンス,Wishing Well
アグネスタキオン,アグネスフローラ
アグネスフローラ,ロイヤルスキー
アグネスフローラ,アグネスレディー
ウイニングチケット,トニービン
トニービン,カンパラ
トニービン,Seven Bridge
ウイニングチケット,パワフルレディ
パワフルレディ,マルゼンスキー
パワフルレディ,ロッチテスコ
キングヘイロー,ダンシングブレーヴ
ダンシングブレーヴ,Lyphard
ダンシングブレーヴ,Navajo Princess
キングヘイロー,グッバイヘイロー
グッバイヘイロー,Halo
グッバイヘイロー,Pound Foolish
サクラバクシンオー,サクラユタカオー
サクラユタカオー,テスコボーイ
サクラユタカオー,アンジェリカ
サクラバクシンオー,サクラハゴロモ
サクラハゴロモ,ノーザンテースト
サクラハゴロモ,クリアアンバー
ナイスネイチャ,ナイスダンサー
ナイスダンサー,Nothern Dancer
ナイスダンサー,Nice Princess
ナイスネイチャ,ウラカワミユキ
ウラカワミユキ,ハビトニー
ウラカワミユキ,ケンマルミドリ
ハルウララ,ニッポーテイオー
ニッポーテイオー,リイフォー
ニッポーテイオー,チヨダマサコ
ハルウララ,ヒロイン
ヒロイン,ラッキーソブリン
ヒロイン,ピアレスレデイ
マチカネフクキタル,クリスタルグリッターズ
クリスタルグリッターズ,Blushing Groom
クリスタルグリッターズ,Tales to Tell
マチカネフクキタル,アテナトウショウ
アテナトウショウ,トウショウボーイ
アテナトウショウ,グレイトウショウ
メジロライアン,アンバーシャダイ
アンバーシャダイ,ノーザンテースト
アンバーシャダイ,クリアアンバー
メジロライアン,メジロチエイサー
メジロチエイサー,メジロサンマン
メジロチエイサー,シェリル